Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Food Waste Sector],[Government_Name],[Level of requirement],[Level/Status],[Name of international agreement],[Nature],[Observation Status],[Policy instruments],[Reporting Type],[Type of product],[Type of renewable technology],[Type of waste treatment],[Units]
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2002.0,8547000.0,2002,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,PET,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,3630673.02729,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,NFO,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,290817.0,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,WCH,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,9154236.0,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,FOF,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,1009620.244,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,NMA,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,33041145.1766,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,NMM,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,4306498.10229,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,MEO,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,340236.0,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,GAS,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,0.0,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,ONT,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,4607554.52,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,WOD,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,0.0,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,COL,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,49235694.64,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,BIM,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,9713819.92,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,CPR,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,8814000.0,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,PET,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,20335202.2,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,GBO,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,96707754.81789,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,ALP,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,32031524.9326,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,NMC,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,675825.075,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,FEO,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2003.0,14288301.0,2003,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,CRO,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,154722.0,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,WCH,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,15762507.0,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,CRO,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,4639786.13603,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,MEO,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,0.0,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,COL,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,4496363.88,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,WOD,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,9119000.0,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,PET,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,1568681.874,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,NMA,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,9534854.0,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,FOF,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,52374974.5,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,BIM,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,32478365.4965,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,NMC,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,11247741.72,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,CPR,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,101525714.89853,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,ALP,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,0.0,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,ONT,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,20713639.9,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,GBO,,,TONNES
12.0,12.2,12.2.2,EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",218.0,Ecuador,2004.0,749001.687,2004,,,,,WESR / Global Material Flows Database,,,,,,,,,E,A,,G,FEO,,,TONNES
