Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Disability status],[Education level],[Freq],[Location],[Migratory status],[Nature],[Observation Status],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product],[Units]
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,24330.58,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-0,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,34756.85,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-2,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,10428.48,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,isco08-5,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,14127.64,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,isco08-4,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,14043.5,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-4,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,17466.51,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-3,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,24124.04,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,isco08-0,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,10184.78,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,isco08-6,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,12148.43,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,isco08-7,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,14604.72,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,_T,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,12951.25,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-8,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,9601.9,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-9,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,19539.9,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-3,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,12409.73,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-7,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,10478.46,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-6,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,9344.44,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-5,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,14856.97,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,_T,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,29546.65,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-2,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,29218.69,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-1,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,14706.9,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,_T,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2018.0,29481.58,2018,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,isco08-1,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,21306.33,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,isco08-0,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,30730.82,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,isco08-1,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,15377.8,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,_T,,CUR_LCU
