Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Disability status],[Education level],[Freq],[Location],[Migratory status],[Nature],[Observation Status],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product],[Units]
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",32.0,Argentina,2018.0,58.983342955789,2018,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",32.0,Argentina,2019.0,60.745210700211,2019,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",32.0,Argentina,2020.0,62.4518611173733,2020,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.1,FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",32.0,Argentina,2021.0,62.9898969982147,2021,,,,,IMF,,,,15+,,,,,,C,A,,G,,,,PER_100000_POP
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2011.0,36.86528,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,AGG_GE2,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2011.0,34.61397,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,_T,G,MALE,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2011.0,33.13022,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2011.0,19.67492,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,B40,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2011.0,31.81856,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,_T,G,FEMALE,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2011.0,15.53541,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15-24,,_T,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2011.0,28.27238,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,AGG_0_1,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2011.0,42.05716,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,R60,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2011.0,38.351,2011,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,25+,,_T,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2014.0,44.6275,2014,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,B40,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2014.0,50.1973,2014,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2014.0,49.45896,2014,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,_T,G,MALE,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2014.0,48.90295,2014,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,AGG_GE2,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2014.0,57.50382,2014,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,25+,,_T,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2014.0,53.90176,2014,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,R60,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2014.0,52.2677,2014,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,AGG_0_1,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2014.0,24.49101,2014,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15-24,,_T,,ALLAREA,,G,,_T,G,BOTHSEX,,,PERCENT
8.0,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",32.0,Argentina,2014.0,50.85236,2014,,,,,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",,,,15+,,_T,,ALLAREA,,G,,_T,G,FEMALE,,,PERCENT
