Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Tariff regime (status)],[Type of product],[Type of speed],[Units]
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2012.0,212666640.0,2012.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2013.0,209977097.24,2013.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2014.0,223894124.705963,2014.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2015.0,239594575.905411,2015.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2016.0,250851464.707428,2016.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2017.0,257605101.482293,2017.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2018.0,287056564.501908,2018.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2019.0,332062189.332768,2019.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2020.0,292079970.548311,2020.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.1.1,GR_G14_XDC,"Total government revenue, in local currency",170.0,Colombia,2021.0,342081561.80852,2021.0,,,,,IMF,,,,,,,C,A,G,,,,,CUR_LCU_M
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2005.0,10.33583,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2005.0,10.0,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,OIL,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2005.0,18.42634,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2005.0,20.0,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2005.0,16.90198,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2005.0,16.40848,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2005.0,11.22892,2005.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2010.0,10.69575,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
